Longitude,Latitude,Elevation
-84.55701751320,31.46148418160,192.381889
-84.55701751320,31.46148418160,192.401574
-84.55702661500,31.46151157020,192.331857
-84.55705783030,31.46160618120,192.342519
-84.55706739220,31.46163437590,192.307368
-84.55707739150,31.46166301870,192.326115
-84.55708747700,31.46169204810,192.452193
-84.55709808660,31.46172188470,192.477034
-84.55710881960,31.46175067900,192.513123
-84.55711997560,31.46178047110,192.483595
-84.55713022360,31.46180818400,192.651465
-84.55714037180,31.46183603260,192.454068
-84.55715045590,31.46186387980,192.673884
-84.55716020660,31.46189221550,192.795275
-84.55716955210,31.46192010370,192.769029
-84.55717875370,31.46194735680,192.896981
-84.55718845740,31.46197626890,192.987204
-84.55719813910,31.46200479570,193.116798
-84.55720729520,31.46203133320,193.167323
-84.55721647760,31.46205809110,193.254593
-84.55722589300,31.46208452370,193.379265
-84.55723553560,31.46211085060,193.310367
-84.55724596880,31.46213760490,193.473753
-84.55725656740,31.46216417010,193.503937
-84.55726643580,31.46219044630,193.662729
-84.55727651720,31.46221716650,193.654855
-84.55728629160,31.46224335850,193.826115
-84.55729602830,31.46226976960,193.795931
-84.55730582270,31.46229642930,193.967847
-84.55731571100,31.46232317330,194.025590
-84.55732574260,31.46234934270,194.083989
-84.55733680480,31.46237905050,194.150262
-84.55734665750,31.46240593120,194.169127
-84.55735689640,31.46243276430,194.204396
-84.55736637880,31.46245908810,194.109252
-84.55737588750,31.46248563240,194.107611
-84.55738488490,31.46251211190,194.092027
-84.55739426690,31.46253859870,194.086286
-84.55740392450,31.46256558570,194.080544
-84.55741329150,31.46259264950,193.914042
-84.55742246900,31.46261959980,193.856627
-84.55743159030,31.46264624660,193.759842
-84.55744111900,31.46267325850,193.696686
-84.55745067690,31.46270038100,193.717191
-84.55746001400,31.46272736180,193.603182
-84.55746951430,31.46275423570,193.576115
-84.55747918480,31.46278072810,193.603182
-84.55748907820,31.46280727970,193.597441
-84.55750000300,31.46283610520,193.616141
-84.55751070850,31.46286473400,193.605643
-84.55752138750,31.46289314250,193.605643
-84.55753231380,31.46292191300,193.567913
-84.55754270370,31.46295034340,193.578084
-84.55755259780,31.46297934150,193.536745
-84.55756260160,31.46300781950,193.557086
-84.55757240670,31.46303654110,193.523622
-84.55758239760,31.46306551360,193.568241
-84.55759229890,31.46309423700,193.682742
-84.55760251140,31.46312332370,193.674540
-84.55761247250,31.46315221320,193.731955
-84.55762276130,31.46318083410,193.795931
-84.55763304790,31.46320953740,193.756561
-84.55764337590,31.46323788410,193.843832
-84.55765415120,31.46326629440,193.854987
-84.55766409380,31.46329466120,193.881889
-84.55767374300,31.46332321490,193.889435
-84.55768340850,31.46335237360,193.973753
-84.55769311320,31.46338125820,194.004265
-84.55770312480,31.46341067090,194.066929
-84.55771294360,31.46343763340,194.048556
-84.55772372610,31.46346700590,194.123469
-84.55773448210,31.46349739510,194.232283
-84.55774341260,31.46352398320,194.244750
-84.55775328760,31.46355372320,194.338910
-84.55776185190,31.46358082660,194.387303
-84.55777094630,31.46360728050,194.429134
-84.55778173520,31.46363640570,194.487532
-84.55779153560,31.46366284560,194.612861
-84.55780082440,31.46368922060,194.631233
-84.55781057910,31.46371618190,194.708005
-84.55782072630,31.46374408530,194.763123
-84.55783093330,31.46377215480,194.819553
-84.55784105840,31.46379967300,194.835958
-84.55785139720,31.46382884460,195.016404
-84.55786169030,31.46385853760,194.917323
-84.55787260880,31.46389008440,195.075459
-84.55788241840,31.46391740400,195.054954
-84.55789270310,31.46394495270,195.203412
-84.55790270360,31.46397233100,195.260826
-84.55791285220,31.46400017950,195.393700
-84.55792293890,31.46402794430,195.516732
-84.55793272640,31.46405487870,195.646325
-84.55794349760,31.46408345380,195.744750
-84.55795376740,31.46411157950,195.944882
-84.55796383200,31.46413895900,196.087598
-84.55797358320,31.46416729470,196.289370
-84.55798341920,31.46419483480,196.218011
-84.55799346460,31.46422295610,196.456693
-84.55800289310,31.46425013110,196.475557
-84.55801272200,31.46427794590,196.643700
-84.55802246110,31.46430551170,196.713418
-84.55803228010,31.46433247410,196.807742
-84.55804196500,31.46436089100,196.915190
-84.55805200900,31.46438906730,196.991470
-84.55806161640,31.46441676800,197.052985
-84.55807121870,31.46444466100,197.145669
-84.55808148500,31.46447292400,197.177657
-84.55809112660,31.46450054280,197.139107
-84.55810151460,31.46453029260,197.358267
-84.55811165830,31.46455833340,197.526246
-84.55812166390,31.46458551940,197.576115
-84.55813147220,31.46461289400,197.634514
-84.55814120070,31.46464087180,197.753937
-84.55815104320,31.46466816460,197.696850
-84.55816124330,31.46469650890,197.831365
-84.55817125600,31.46472465710,198.074147
-84.55818126660,31.46475165070,198.011811
-84.55819195960,31.46477953710,198.034777
-84.55820235280,31.46480662050,198.077428
-84.55821283210,31.46483409040,198.044619
-84.55822273020,31.46486171420,198.231627
-84.55823310770,31.46488940200,198.218504
-84.55824301080,31.46491683340,198.290682
-84.55825248800,31.46494337700,197.982283
-84.55826252140,31.46497196550,198.330708
-84.55827242020,31.46499956170,198.369422
-84.55828187520,31.46502695710,198.409449
-84.55829144780,31.46505476700,198.467847
-84.55830141930,31.46508203480,198.515748
-84.55831150830,31.46510971710,198.618766
-84.55832151980,31.46513668330,198.580052
-84.55833184390,31.46516395780,198.579396
-84.55834184750,31.46519122620,198.740157
-84.55835144930,31.46521790960,198.818897
-84.55836173780,31.46524655790,198.973097
-84.55837201350,31.46527446370,198.976378
-84.55838173150,31.46530161670,199.139763
-84.55839229920,31.46532939070,199.268372
-84.55840212340,31.46535616080,199.377296
-84.55841208640,31.46538375830,199.514435
-84.55842164410,31.46541090820,199.639107
