OBJECTID,pointid,grid_code,POINT_X,POINT_Y
146,146,155,-84.76035465,31.19293904
147,147,155,-84.76032912,31.19293904
148,148,155,-84.76030359,31.19293904
149,149,155,-84.76027806,31.19293904
150,150,155,-84.76025253,31.19293904
151,151,155,-84.760227,31.19293904
152,152,155,-84.76020146,31.19293904
153,153,155,-84.76017593,31.19293904
154,154,155,-84.7601504,31.19293904
155,155,155,-84.76012487,31.19293904
156,156,155,-84.76009934,31.19293904
157,157,155,-84.76007381,31.19293904
158,158,155,-84.76004827,31.19293904
159,159,155,-84.76002274,31.19293904
160,160,156,-84.76255037,31.19291351
161,161,155,-84.76252484,31.19291351
162,162,155,-84.76249931,31.19291351
163,163,155,-84.76247378,31.19291351
164,164,155,-84.76244825,31.19291351
165,165,155,-84.76242272,31.19291351
166,166,155,-84.76239718,31.19291351
167,167,155,-84.76237165,31.19291351
168,168,155,-84.76234612,31.19291351
169,169,155,-84.76232059,31.19291351
170,170,155,-84.76229506,31.19291351
171,171,155,-84.76226953,31.19291351
172,172,155,-84.76224399,31.19291351
173,173,155,-84.76221846,31.19291351
174,174,155,-84.76219293,31.19291351
175,175,155,-84.7621674,31.19291351
176,176,155,-84.76214187,31.19291351
177,177,155,-84.76211634,31.19291351
178,178,155,-84.76209081,31.19291351
179,179,155,-84.76206527,31.19291351
180,180,155,-84.76203974,31.19291351
181,181,155,-84.76201421,31.19291351
182,182,155,-84.76198868,31.19291351
183,183,155,-84.76196315,31.19291351
184,184,155,-84.76193762,31.19291351
185,185,155,-84.76191208,31.19291351
186,186,154,-84.76188655,31.19291351
187,187,154,-84.76186102,31.19291351
188,188,154,-84.76183549,31.19291351
189,189,154,-84.76180996,31.19291351
190,190,154,-84.76178443,31.19291351
191,191,154,-84.76175889,31.19291351
192,192,154,-84.76173336,31.19291351
193,193,154,-84.76170783,31.19291351
194,194,154,-84.7616823,31.19291351
195,195,154,-84.76165677,31.19291351
196,196,154,-84.76163124,31.19291351
197,197,154,-84.7616057,31.19291351
198,198,154,-84.76158017,31.19291351
199,199,154,-84.76155464,31.19291351
200,200,154,-84.76152911,31.19291351
201,201,154,-84.76150358,31.19291351
202,202,154,-84.76147805,31.19291351
203,203,154,-84.76145251,31.19291351
204,204,154,-84.76142698,31.19291351
205,205,154,-84.76140145,31.19291351
206,206,154,-84.76137592,31.19291351
207,207,154,-84.76135039,31.19291351
208,208,154,-84.76132486,31.19291351
209,209,154,-84.76129932,31.19291351
210,210,154,-84.76127379,31.19291351
211,211,154,-84.76124826,31.19291351
212,212,154,-84.76122273,31.19291351
213,213,154,-84.7611972,31.19291351
214,214,154,-84.76117167,31.19291351
215,215,154,-84.76114613,31.19291351
216,216,155,-84.7611206,31.19291351
217,217,155,-84.76109507,31.19291351
218,218,155,-84.76106954,31.19291351
219,219,155,-84.76104401,31.19291351
220,220,155,-84.76101848,31.19291351
221,221,155,-84.76099294,31.19291351
222,222,155,-84.76096741,31.19291351
223,223,155,-84.76094188,31.19291351
224,224,155,-84.76091635,31.19291351
225,225,155,-84.76089082,31.19291351
226,226,155,-84.76086529,31.19291351
227,227,155,-84.76083975,31.19291351
228,228,155,-84.76081422,31.19291351
229,229,155,-84.76078869,31.19291351
230,230,155,-84.76076316,31.19291351
231,231,155,-84.76073763,31.19291351
232,232,155,-84.7607121,31.19291351
233,233,155,-84.76068656,31.19291351
234,234,155,-84.76066103,31.19291351
235,235,155,-84.7606355,31.19291351
236,236,155,-84.76060997,31.19291351
237,237,155,-84.76058444,31.19291351
238,238,155,-84.76055891,31.19291351
239,239,155,-84.76053337,31.19291351
240,240,155,-84.76050784,31.19291351
241,241,155,-84.76048231,31.19291351
242,242,155,-84.76045678,31.19291351
243,243,155,-84.76043125,31.19291351
244,244,155,-84.76040572,31.19291351
245,245,155,-84.76038018,31.19291351
246,246,155,-84.76035465,31.19291351
247,247,155,-84.76032912,31.19291351
248,248,155,-84.76030359,31.19291351
249,249,155,-84.76027806,31.19291351
250,250,155,-84.76025253,31.19291351
251,251,155,-84.760227,31.19291351
252,252,155,-84.76020146,31.19291351
253,253,155,-84.76017593,31.19291351
254,254,155,-84.7601504,31.19291351
255,255,155,-84.76012487,31.19291351
256,256,155,-84.76009934,31.19291351
257,257,155,-84.76007381,31.19291351
258,258,155,-84.76004827,31.19291351
259,259,155,-84.76002274,31.19291351
260,260,155,-84.75999721,31.19291351
261,261,154,-84.75997168,31.19291351
262,262,156,-84.7626525,31.19288798
263,263,156,-84.76262697,31.19288798
264,264,156,-84.76260144,31.19288798
265,265,156,-84.76257591,31.19288798
266,266,156,-84.76255037,31.19288798
267,267,155,-84.76252484,31.19288798
268,268,155,-84.76249931,31.19288798
269,269,155,-84.76247378,31.19288798
270,270,155,-84.76244825,31.19288798
271,271,155,-84.76242272,31.19288798
272,272,155,-84.76239718,31.19288798
273,273,155,-84.76237165,31.19288798
274,274,155,-84.76234612,31.19288798
275,275,155,-84.76232059,31.19288798
276,276,155,-84.76229506,31.19288798
277,277,155,-84.76226953,31.19288798
278,278,155,-84.76224399,31.19288798
279,279,155,-84.76221846,31.19288798
280,280,155,-84.76219293,31.19288798
281,281,155,-84.7621674,31.19288798
282,282,155,-84.76214187,31.19288798
283,283,155,-84.76211634,31.19288798
284,284,155,-84.76209081,31.19288798
285,285,155,-84.76206527,31.19288798
286,286,155,-84.76203974,31.19288798
287,287,155,-84.76201421,31.19288798
288,288,155,-84.76198868,31.19288798
289,289,155,-84.76196315,31.19288798
290,290,155,-84.76193762,31.19288798
291,291,155,-84.76191208,31.19288798
292,292,155,-84.76188655,31.19288798
293,293,155,-84.76186102,31.19288798
294,294,155,-84.76183549,31.19288798
295,295,155,-84.76180996,31.19288798
296,296,154,-84.76178443,31.19288798
297,297,154,-84.76175889,31.19288798
298,298,154,-84.76173336,31.19288798
299,299,154,-84.76170783,31.19288798
300,300,154,-84.7616823,31.19288798
301,301,154,-84.76165677,31.19288798
302,302,154,-84.76163124,31.19288798
303,303,154,-84.7616057,31.19288798
304,304,154,-84.76158017,31.19288798
305,305,154,-84.76155464,31.19288798
306,306,154,-84.76152911,31.19288798
307,307,154,-84.76150358,31.19288798
308,308,154,-84.76147805,31.19288798
309,309,154,-84.76145251,31.19288798
310,310,154,-84.76142698,31.19288798
311,311,154,-84.76140145,31.19288798
312,312,154,-84.76137592,31.19288798
313,313,154,-84.76135039,31.19288798
314,314,154,-84.76132486,31.19288798
315,315,155,-84.76129932,31.19288798
316,316,155,-84.76127379,31.19288798
317,317,155,-84.76124826,31.19288798
318,318,155,-84.76122273,31.19288798
319,319,155,-84.7611972,31.19288798
320,320,155,-84.76117167,31.19288798
321,321,155,-84.76114613,31.19288798
322,322,155,-84.7611206,31.19288798
323,323,155,-84.76109507,31.19288798
324,324,155,-84.76106954,31.19288798
325,325,155,-84.76104401,31.19288798
326,326,155,-84.76101848,31.19288798
327,327,155,-84.76099294,31.19288798
328,328,155,-84.76096741,31.19288798
329,329,155,-84.76094188,31.19288798
330,330,155,-84.76091635,31.19288798
331,331,155,-84.76089082,31.19288798
332,332,155,-84.76086529,31.19288798
333,333,155,-84.76083975,31.19288798
334,334,155,-84.76081422,31.19288798
335,335,155,-84.76078869,31.19288798
336,336,155,-84.76076316,31.19288798
337,337,155,-84.76073763,31.19288798
338,338,155,-84.7607121,31.19288798
339,339,155,-84.76068656,31.19288798
340,340,155,-84.76066103,31.19288798
341,341,155,-84.7606355,31.19288798
342,342,155,-84.76060997,31.19288798
343,343,155,-84.76058444,31.19288798
344,344,155,-84.76055891,31.19288798
345,345,155,-84.76053337,31.19288798
346,346,155,-84.76050784,31.19288798
347,347,155,-84.76048231,31.19288798
348,348,155,-84.76045678,31.19288798
349,349,155,-84.76043125,31.19288798
350,350,155,-84.76040572,31.19288798
351,351,155,-84.76038018,31.19288798
352,352,155,-84.76035465,31.19288798
353,353,155,-84.76032912,31.19288798
354,354,155,-84.76030359,31.19288798
355,355,155,-84.76027806,31.19288798
356,356,155,-84.76025253,31.19288798
357,357,155,-84.760227,31.19288798
358,358,155,-84.76020146,31.19288798
359,359,155,-84.76017593,31.19288798
360,360,155,-84.7601504,31.19288798
361,361,155,-84.76012487,31.19288798
362,362,155,-84.76009934,31.19288798
363,363,155,-84.76007381,31.19288798
364,364,155,-84.76004827,31.19288798
365,365,155,-84.76002274,31.19288798
366,366,155,-84.75999721,31.19288798
367,367,154,-84.75997168,31.19288798
368,368,154,-84.75994615,31.19288798
369,369,156,-84.76275463,31.19286245
370,370,156,-84.7627291,31.19286245
371,371,156,-84.76270356,31.19286245
372,372,156,-84.76267803,31.19286245
373,373,156,-84.7626525,31.19286245
374,374,156,-84.76262697,31.19286245
375,375,156,-84.76260144,31.19286245
376,376,156,-84.76257591,31.19286245
377,377,156,-84.76255037,31.19286245
378,378,155,-84.76252484,31.19286245
379,379,155,-84.76249931,31.19286245
380,380,155,-84.76247378,31.19286245
381,381,155,-84.76244825,31.19286245
382,382,155,-84.76242272,31.19286245
383,383,155,-84.76239718,31.19286245
384,384,155,-84.76237165,31.19286245
385,385,155,-84.76234612,31.19286245
386,386,155,-84.76232059,31.19286245
387,387,155,-84.76229506,31.19286245
388,388,155,-84.76226953,31.19286245
389,389,155,-84.76224399,31.19286245
390,390,155,-84.76221846,31.19286245
391,391,155,-84.76219293,31.19286245
392,392,155,-84.7621674,31.19286245
393,393,155,-84.76214187,31.19286245
394,394,155,-84.76211634,31.19286245
395,395,155,-84.76209081,31.19286245
396,396,155,-84.76206527,31.19286245
397,397,155,-84.76203974,31.19286245
398,398,155,-84.76201421,31.19286245
399,399,155,-84.76198868,31.19286245
400,400,155,-84.76196315,31.19286245
401,401,155,-84.76193762,31.19286245
402,402,155,-84.76191208,31.19286245
403,403,155,-84.76188655,31.19286245
404,404,155,-84.76186102,31.19286245
405,405,155,-84.76183549,31.19286245
406,406,155,-84.76180996,31.19286245
407,407,155,-84.76178443,31.19286245
408,408,155,-84.76175889,31.19286245
409,409,155,-84.76173336,31.19286245
410,410,155,-84.76170783,31.19286245
411,411,155,-84.7616823,31.19286245
412,412,154,-84.76165677,31.19286245
413,413,154,-84.76163124,31.19286245
414,414,154,-84.7616057,31.19286245
415,415,154,-84.76158017,31.19286245
416,416,154,-84.76155464,31.19286245
417,417,154,-84.76152911,31.19286245
418,418,154,-84.76150358,31.19286245
419,419,154,-84.76147805,31.19286245
420,420,154,-84.76145251,31.19286245
421,421,154,-84.76142698,31.19286245
422,422,154,-84.76140145,31.19286245
423,423,155,-84.76137592,31.19286245
424,424,155,-84.76135039,31.19286245
425,425,155,-84.76132486,31.19286245
426,426,155,-84.76129932,31.19286245
427,427,155,-84.76127379,31.19286245
428,428,155,-84.76124826,31.19286245
429,429,155,-84.76122273,31.19286245
430,430,155,-84.7611972,31.19286245
431,431,155,-84.76117167,31.19286245
432,432,155,-84.76114613,31.19286245
433,433,155,-84.7611206,31.19286245
434,434,155,-84.76109507,31.19286245
435,435,155,-84.76106954,31.19286245
436,436,155,-84.76104401,31.19286245
437,437,155,-84.76101848,31.19286245
438,438,155,-84.76099294,31.19286245
439,439,155,-84.76096741,31.19286245
440,440,155,-84.76094188,31.19286245
441,441,155,-84.76091635,31.19286245
442,442,155,-84.76089082,31.19286245
443,443,155,-84.76086529,31.19286245
444,444,155,-84.76083975,31.19286245
445,445,155,-84.76081422,31.19286245
446,446,155,-84.76078869,31.19286245
447,447,155,-84.76076316,31.19286245
448,448,155,-84.76073763,31.19286245
449,449,155,-84.7607121,31.19286245
450,450,155,-84.76068656,31.19286245
451,451,155,-84.76066103,31.19286245
452,452,155,-84.7606355,31.19286245
453,453,155,-84.76060997,31.19286245
454,454,155,-84.76058444,31.19286245
455,455,155,-84.76055891,31.19286245
456,456,155,-84.76053337,31.19286245
457,457,155,-84.76050784,31.19286245
458,458,155,-84.76048231,31.19286245
459,459,155,-84.76045678,31.19286245
460,460,155,-84.76043125,31.19286245
461,461,155,-84.76040572,31.19286245
462,462,155,-84.76038018,31.19286245
463,463,155,-84.76035465,31.19286245
464,464,155,-84.76032912,31.19286245
465,465,155,-84.76030359,31.19286245
466,466,155,-84.76027806,31.19286245
467,467,155,-84.76025253,31.19286245
468,468,155,-84.760227,31.19286245
469,469,155,-84.76020146,31.19286245
470,470,155,-84.76017593,31.19286245
471,471,155,-84.7601504,31.19286245
472,472,155,-84.76012487,31.19286245
473,473,155,-84.76009934,31.19286245
474,474,155,-84.76007381,31.19286245
475,475,155,-84.76004827,31.19286245
476,476,155,-84.76002274,31.19286245
477,477,155,-84.75999721,31.19286245
478,478,154,-84.75997168,31.19286245
479,479,154,-84.75994615,31.19286245
